drug_id,drug_name,target_gene,target_pathway
140,Vinorelbine,Microtubule destabiliser,Mitosis
147,Nsc-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other
150,Bicalutamide,AR,Hormone-related
151,Qs11,ARFGAP1,Other
152,Cp466722,ATM,Genome integrity
153,Midostaurin,"PKC, PPK, FLT1, c-FGR, others",Other
154,Chir-99021,"GSK3A, GSK3B",WNT signaling
155,Ponatinib,"ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases"
156,Azd6482,PI3Kbeta,PI3K/MTOR signaling
157,Jnk-9L,"JNK2, JNK3",JNK and p38 signaling
158,Pf-562271,"FAK, FAK2",Cytoskeleton
159,Hg6-64-1,BRAF,ERK MAPK signaling
163,Jq1,"BRD2, BRD3, BRD4, BRDT",Chromatin other
164,Jq12,"HDAC1, HDAC2",Chromatin histone acetylation
165,Dmog,HIF-PH,Metabolism
166,Fti-277,Farnesyl-transferase (FNTA),Other
167,Osu-03012,PDK1 (PDPK1),Metabolism
170,Shikonin,not defined,Other
171,Akt Inhibitor Viii,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
172,Embelin,XIAP,Apoptosis regulation
173,Fh535,"PPARgamma, PPARdelta",Other
175,Pac-1,"Procaspase-3, Procaspase-7",Apoptosis regulation
176,Ipa-3,PAK1,Cytoskeleton
177,Gsk650394,"SGK2, SGK3","Other, kinases"
178,Bay-61-3606,SYK,"Other, kinases"
179,5-Fluorouracil,Antimetabolite (DNA & RNA),Other
180,Thapsigargin,SERCA,Other
182,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation
184,Bms-754807,"IGF1R, IR",RTK signaling
185,Linsitinib,IGF1R,IGF1R signaling
186,Bexarotene,Retinioic X receptor (RXR) agonist,Other
190,Bleomycin,dsDNA break induction,DNA replication
192,Lfm-A13,BTK,"Other, kinases"
193,Gw-2580,CSF1R,RTK signaling
194,Luminespib,HSP90,Protein stability and degradation
196,Phenformin,Biguanide agent,Other
197,Bryostatin 1,PKC,Other
199,Pazopanib,"CSF1R, KIT,  PDGFRA, PDGFRB",RTK signaling
200,Dacinostat,HDAC1,Chromatin histone acetylation
201,Epothilone B,Microtubule stabiliser,Mitosis
202,Gsk1904529A,"IGF1R, IR",RTK signaling
203,Bms-345541,"IKK1, IKK2","Other, kinases"
204,Tipifarnib,Farnesyl-transferase (FNTA),Other
205,Avagacestat,"Amyloid beta20, Amyloid beta40",Other
